date,total_trades,successful_trades,failed_trades,win_rate,total_revenue,daily_pnl,total_volume,max_drawdown
8/27/2025,4,4,0,100,0,0,59.72682,0
9/4/2025,2,2,0,100,0,0,19.238034,0
9/5/2025,8,6,2,75,3.706432709,3.706432709,58.18299,0
9/6/2025,13,10,3,76.92307692,7.198551721,7.198551721,99.15736801,0
9/8/2025,12,5,7,41.66666667,0,0,88.394358,0
2025-09-10,9,4,5,44.44444444444444,0.0,0.0,65.210073,0.0
